Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
50;60;5000;7;1;1;1;1984
50;60;5000;7;1;1;1;2028
50;10;5000;7;1;1;1;2034
50;3;5000;7;0;1;1;2050
50;3;5000;7;0;1;1;2050
50;3;5000;7;0;1;1;2050
50;10;5000;7;0;1;1;2050
50;10;5000;7;0;1;1;2050
50;10;5000;7;0;1;1;2050
50;10;5000;7;0;1;1;2050
50;10;5000;7;0;1;1;2050
50;30;5000;7;0;1;1;2050
50;30;5000;7;0;1;1;2050
50;30;5000;7;0;1;1;2050
50;30;5000;7;0;1;1;2050
50;30;5000;7;0;1;1;2050
50;60;5000;7;1;1;1;2050
50;60;5000;7;1;1;1;2050
50;30;5000;7;1;1;1;2054
50;60;5000;7;1;1;1;2055
50;30;5000;7;1;1;1;2057
50;60;5000;7;1;1;1;2057
50;60;5000;7;1;1;1;2057
50;60;5000;7;1;1;1;2061
50;30;5000;7;1;1;1;2066
50;3;5000;10;2;1;2;2067
30;3;5000;7;1;1;1;2072
60;3;5000;4;1;1;1;2077
50;60;5000;7;1;1;1;2077
50;60;5000;7;1;1;1;2077
50;30;5000;7;1;1;1;2083
50;60;5000;7;1;1;1;2083
30;3;5000;4;1;0;2;2084
30;3;5000;10;1;0;2;2084
30;3;5000;10;2;0;2;2084
30;3;5000;10;2;0;2;2084
40;3;5000;7;1;0;2;2084
60;3;5000;7;1;0;2;2084
60;3;5000;10;1;0;2;2084
60;3;5000;10;1;0;2;2084
50;60;5000;7;1;1;1;2084
30;3;5000;10;2;1;2;2089
40;3;5000;4;1;1;2;2089
40;3;5000;10;1;1;2;2089
50;3;5000;7;2;1;2;2089
50;10;5000;7;1;1;2;2089
50;3;5000;4;2;0;2;2091
40;3;5000;4;0;1;1;2094
40;3;5000;4;0;1;1;2094
40;3;5000;4;0;1;1;2094
40;3;5000;10;2;1;1;2101
30;3;5000;10;2;1;1;2102
30;3;5000;4;2;0;2;2104
30;3;5000;10;2;0;2;2104
30;3;5000;4;1;0;2;2106
40;3;5000;7;1;0;2;2106
60;3;5000;4;1;0;2;2106
40;3;5000;4;1;0;2;2108
40;3;5000;7;2;0;2;2108
50;3;5000;7;1;0;2;2108
60;3;5000;7;1;0;2;2108
