Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
80;45;5000;13;1;0;2;38230
80;30;5000;13;1;0;2;38259
80;30;5000;13;1;0;2;38263
30;3;5000;13;1;0;2;38373
80;30;5000;13;1;0;2;38396
50;3;5000;13;1;0;2;38436
50;30;5000;13;1;0;2;38436
80;10;5000;13;1;0;2;38645
80;30;5000;13;1;0;2;38672
80;10;5000;13;1;0;2;38708
50;30;5000;13;1;0;2;38740
50;3;5000;13;1;0;2;38744
70;3;5000;7;1;0;2;38744
80;3;5000;10;1;0;2;38744
80;30;5000;13;1;0;2;38744
80;45;5000;13;1;0;2;38744
50;30;5000;13;1;0;2;38905
80;45;5000;13;1;0;2;38931
80;3;5000;13;1;0;2;38966
30;3;5000;7;1;0;2;38993
30;3;5000;13;1;0;2;38993
30;3;5000;7;1;0;2;38993
50;3;5000;13;1;0;2;38993
60;3;5000;10;1;0;2;38993
50;10;5000;13;1;0;2;38993
50;30;5000;13;1;0;2;38993
50;30;5000;13;1;0;2;38993
50;10;5000;13;1;0;2;39011
80;10;5000;13;1;0;2;39011
50;30;5000;13;1;0;2;39022
80;45;5000;13;1;0;2;39067
80;30;5000;13;1;0;2;39220
30;3;5000;4;1;0;2;39242
50;30;5000;13;1;0;2;39243
80;45;5000;13;1;0;2;39354
60;3;5000;10;1;0;2;39370
80;30;5000;13;1;0;2;39370
50;30;5000;13;1;0;2;39443
80;30;5000;13;1;0;2;39472
60;3;5000;13;1;0;2;39498
80;10;5000;13;1;0;2;39498
80;30;5000;13;1;0;2;39515
40;3;5000;4;2;0;2;39522
40;3;5000;7;1;0;2;39603
50;10;5000;13;1;0;2;39603
40;3;5000;4;2;1;2;39631
80;30;5000;13;1;0;2;39639
30;3;5000;4;2;0;2;39655
30;10;5000;13;1;0;2;39743
30;3;5000;4;2;1;2;39856
30;10;5000;13;1;0;2;39871
50;30;5000;13;1;0;2;39873
60;3;5000;7;1;0;2;39989
80;3;5000;7;1;0;2;39998
30;3;5000;10;1;0;2;40003
40;3;5000;7;1;0;2;40003
70;3;5000;10;1;0;2;40003
70;3;5000;13;1;0;2;40003
30;10;5000;13;1;0;2;40003
50;30;5000;13;1;0;2;40027
50;3;5000;7;1;0;2;40035
30;10;5000;13;1;0;2;40035
30;3;5000;7;1;0;2;40057
40;3;5000;4;1;1;2;40082
50;10;5000;13;1;0;2;40085
30;3;5000;13;2;0;2;40121
30;3;5000;7;1;0;2;40233
50;10;5000;13;1;0;2;40256
70;3;5000;10;1;0;2;40314
30;3;5000;10;1;0;2;40344
30;3;5000;10;2;0;2;40365
80;10;5000;13;1;0;2;40365
30;3;5000;10;1;0;2;40425
40;3;5000;4;1;0;2;40426
40;3;5000;10;1;0;2;40426
50;3;5000;10;1;0;2;40426
30;3;5000;13;2;0;2;40440
80;3;5000;13;1;0;2;40440
40;3;5000;10;0;1;1;40490
40;3;5000;7;1;0;2;40556
50;3;5000;7;1;0;2;40556
30;3;5000;10;2;0;1;40570
30;3;5000;7;1;0;2;40630
30;3;5000;4;1;0;2;40630
50;3;5000;7;1;0;2;40630
60;3;5000;13;1;0;2;40647
30;3;5000;10;1;1;2;40683
80;3;5000;13;1;0;2;40732
40;3;5000;4;2;0;2;40789
30;3;5000;10;2;0;2;40803
30;3;5000;10;1;0;1;40823
40;3;5000;7;2;0;2;40875
40;3;5000;10;1;0;2;40875
40;3;5000;4;1;1;2;40895
30;3;5000;7;2;0;2;40906
30;3;5000;7;1;1;2;40923
30;3;5000;4;0;1;1;40935
30;3;5000;4;0;1;1;40935
30;3;5000;4;0;0;1;40935
30;3;5000;4;0;0;1;40935
30;3;5000;4;1;1;1;40935
30;3;5000;4;1;1;1;40935
30;3;5000;4;1;0;1;40935
30;3;5000;4;1;0;1;40935
30;3;5000;4;2;1;1;40935
30;3;5000;4;2;1;1;40935
30;3;5000;4;2;0;1;40935
30;3;5000;4;2;0;1;40935
70;3;5000;10;1;0;2;40936
70;3;5000;7;1;0;2;40937
40;3;5000;4;1;0;2;40961
80;3;5000;10;1;0;2;40961
40;3;5000;4;0;1;1;40973
40;3;5000;4;0;1;1;40973
40;3;5000;4;0;0;1;40973
40;3;5000;4;0;0;1;40973
40;3;5000;4;1;1;1;40973
40;3;5000;4;1;1;1;40973
40;3;5000;4;1;0;1;40973
40;3;5000;4;1;0;1;40973
40;3;5000;4;2;1;1;40973
40;3;5000;4;2;1;1;40973
40;3;5000;4;2;0;1;40973
