Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
80;20;5000;4;11;0;2;3177
120;30;5000;9;5;0;2;3179
120;30;5000;15;5;0;2;3189
120;20;5000;9;5;0;2;3219
80;20;5000;4;5;0;2;3230
160;30;5000;9;5;0;2;3230
40;20;5000;17;1;0;2;3233
80;20;5000;4;5;0;2;3233
80;20;5000;7;1;0;2;3236
40;20;5000;17;5;0;2;3239
40;20;5000;21;5;0;2;3239
40;20;5000;4;5;0;2;3245
80;20;5000;9;5;0;2;3247
40;20;5000;17;1;0;2;3248
120;30;5000;9;5;0;2;3263
40;20;5000;21;11;0;2;3264
80;20;5000;4;1;0;2;3268
40;20;5000;17;11;0;2;3269
40;20;5000;9;1;0;2;3273
80;20;5000;9;1;0;2;3275
80;20;5000;7;1;0;2;3278
160;30;5000;15;5;0;2;3286
80;20;5000;17;1;0;2;3290
80;20;5000;9;11;0;2;3292
40;20;5000;13;5;0;2;3300
160;20;5000;9;5;0;2;3303
40;20;5000;4;1;0;2;3319
40;20;5000;4;1;0;2;3319
40;20;5000;4;5;0;2;3319
40;20;5000;4;11;0;2;3319
40;20;5000;4;11;0;2;3319
80;20;5000;4;1;0;2;3319
80;20;5000;4;11;0;2;3319
80;20;5000;7;5;0;2;3319
80;20;5000;7;5;0;2;3319
80;20;5000;7;11;0;2;3319
80;20;5000;7;11;0;2;3319
80;20;5000;4;5;0;2;3319
80;20;5000;4;5;0;2;3319
120;20;5000;9;5;0;2;3319
160;20;5000;9;5;0;2;3319
160;30;5000;9;5;0;2;3319
160;30;5000;15;5;0;2;3319
40;20;5000;9;11;0;2;3320
40;20;5000;9;11;0;2;3332
40;20;5000;21;1;0;2;3337
160;20;5000;4;5;0;2;3341
160;20;5000;4;5;0;2;3341
80;20;5000;9;11;0;2;3345
40;20;5000;7;1;0;2;3347
40;20;5000;17;11;0;2;3368
80;20;5000;9;1;0;2;3372
80;20;5000;9;5;0;2;3372
80;20;5000;9;5;0;2;3372
80;20;5000;9;5;0;2;3372
120;30;5000;15;5;0;2;3372
40;20;5000;7;1;0;2;3374
40;20;5000;7;11;0;2;3383
40;20;5000;13;11;0;2;3392
120;20;5000;4;5;0;2;3400
120;20;5000;4;5;0;2;3400
40;20;5000;9;5;0;2;3402
40;20;5000;21;1;0;2;3404
40;20;5000;7;5;0;2;3405
40;20;5000;9;5;0;2;3405
40;20;5000;7;5;0;2;3410
40;20;5000;7;11;0;2;3410
40;20;5000;9;1;0;2;3410
40;20;5000;13;1;0;2;3410
40;20;5000;13;1;0;2;3410
40;20;5000;13;5;0;2;3410
40;20;5000;13;11;0;2;3410
40;20;5000;17;5;0;2;3410
40;20;5000;21;5;0;2;3410
40;20;5000;21;11;0;2;3410
80;20;5000;13;1;0;2;3410
80;20;5000;13;1;0;2;3410
80;20;5000;13;5;0;2;3410
80;20;5000;13;5;0;2;3410
80;20;5000;13;11;0;2;3410
80;20;5000;13;11;0;2;3410
0;20;5000;4;5;0;2;3506
0;20;5000;4;5;0;2;3506
0;20;5000;9;5;0;2;3506
0;20;5000;9;5;0;2;3506
120;60;5000;9;5;0;2;3319
120;60;5000;9;5;0;2;3226
120;60;5000;9;5;0;2;3318
120;60;5000;9;5;0;2;3121
120;60;5000;9;5;0;2;3319
120;60;5000;15;5;0;2;3208
120;60;5000;15;5;0;2;3372
120;60;5000;15;5;0;2;3372
120;60;5000;15;5;0;2;3252
120;60;5000;15;5;0;2;3265
