Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum;;;Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
20;30;5000;4;1;1;1;1323;;;;;;;;;;
20;30;5000;4;1;0;1;1323;;;;;;;;;;
18;30;5000;4;1;1;1;1324;;;;;;;;;;
18;30;5000;4;1;0;1;1324;;;;;;;;;;
18;30;5000;4;3;0;1;1324;;;;;;;;;;
22;30;5000;4;3;1;1;1324;;;;;;;;;;
22;30;5000;4;4;1;1;1324;;;;;;;;;;
18;30;5000;4;2;1;1;1324;;;;;;;;;;
22;30;5000;4;1;1;1;1324;;;;;;;;;;
22;30;5000;4;4;1;1;1324;;;;;;;;;;
18;30;5000;4;1;1;1;1325;;;;;;;;;;
18;30;5000;4;1;1;1;1325;;;;;;;;;;
18;30;5000;4;2;1;1;1325;;;;;;;;;;
18;30;5000;4;4;1;1;1325;;;;;;;;;;
18;30;5000;4;4;1;1;1325;;;;;;;;;;
20;30;5000;4;1;1;1;1325;;;;;;;;;;
20;30;5000;4;1;1;1;1325;;;;;;;;;;
20;30;5000;4;2;1;1;1325;;;;;;;;;;
22;30;5000;4;1;1;1;1325;;;;;;;;;;
18;30;5000;4;1;1;1;1325;;;;;;;;;;
18;30;5000;4;3;1;1;1325;;;;;;;;;;
20;30;5000;4;1;1;1;1325;;;;;;;;;;
20;30;5000;4;2;0;1;1331;;;;;;;;;;
18;30;5000;4;1;1;1;1336;;;;;;;;;;
