Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
25;30;5000;4;1;1;1;1273
25;30;5000;4;1;1;1;1273
25;30;5000;4;1;1;1;1284
25;30;5000;4;1;1;1;1301
25;30;5000;4;1;1;2;1315
25;30;5000;4;1;1;2;1315
25;30;5000;4;1;1;2;1331
25;30;5000;4;1;1;2;1331
25;30;5000;4;1;1;2;1315
25;30;5000;4;1;1;2;1315
25;30;10000;4;1;1;0;1273
25;30;10000;4;1;1;0;1273
25;30;10000;4;1;1;0;1273
25;30;10000;4;1;1;0;1273
25;30;10000;4;1;1;0;1273
25;30;10000;4;1;1;0;1273
25;30;10000;4;1;1;1;1314
25;30;10000;4;1;1;1;1273
25;30;10000;4;1;1;1;1336
25;30;10000;4;1;1;1;1284
25;30;10000;4;1;1;1;1314
25;30;10000;4;1;1;1;1294
25;30;10000;4;1;1;2;1333
25;30;10000;4;1;1;2;1351
25;30;10000;4;1;1;2;1345
25;30;10000;4;1;1;2;1351
25;30;10000;4;1;1;2;1331
25;30;10000;4;1;1;2;1315
25;60;5000;4;1;1;0;1273
25;60;5000;4;1;1;0;1273
25;60;5000;4;1;1;0;1273
25;60;5000;4;1;1;0;1273
25;60;5000;4;1;1;0;1273
25;60;5000;4;1;1;0;1273
25;60;5000;4;1;1;1;1320
25;60;5000;4;1;1;1;1326
25;60;5000;4;1;1;1;1310
25;60;5000;4;1;1;1;1303
25;60;5000;4;1;1;1;1273
25;60;5000;4;1;1;1;1296
25;60;5000;4;1;1;2;1315
25;60;5000;4;1;1;2;1315
25;60;5000;4;1;1;2;1345
25;60;5000;4;1;1;2;1331
25;60;5000;4;1;1;2;1315
25;60;5000;4;1;1;2;1315
25;60;10000;4;1;1;0;1273
25;60;10000;4;1;1;0;1273
25;60;10000;4;1;1;0;1273
25;60;10000;4;1;1;0;1273
25;60;10000;4;1;1;0;1273
25;60;10000;4;1;1;0;1273
25;60;10000;4;1;1;1;1284
25;60;10000;4;1;1;1;1310
25;60;10000;4;1;1;1;1300
25;60;10000;4;1;1;1;1273
25;60;10000;4;1;1;1;1273
25;60;10000;4;1;1;1;1320
25;60;10000;4;1;1;2;1315
25;60;10000;4;1;1;2;1315
25;60;10000;4;1;1;2;1315
25;60;10000;4;1;1;2;1315
25;60;10000;4;1;1;2;1345
25;60;10000;4;1;1;2;1315
28;15;5000;4;1;1;0;1273
28;15;5000;4;1;1;0;1273
28;15;5000;4;1;1;0;1273
28;15;5000;4;1;1;0;1273
28;15;5000;4;1;1;0;1273
28;15;5000;4;1;1;0;1273
28;15;5000;4;1;1;1;1314
28;15;5000;4;1;1;1;1314
28;15;5000;4;1;1;1;1284
28;15;5000;4;1;1;1;1336
28;15;5000;4;1;1;1;1310
28;15;5000;4;1;1;1;1284
28;15;5000;4;1;1;2;1315
28;15;5000;4;1;1;2;1315
28;15;5000;4;1;1;2;1331
28;15;5000;4;1;1;2;1315
28;15;5000;4;1;1;2;1315
28;15;5000;4;1;1;2;1359
28;15;10000;4;1;1;0;1273
28;15;10000;4;1;1;0;1273
28;15;10000;4;1;1;0;1273
28;15;10000;4;1;1;0;1273
28;15;10000;4;1;1;0;1273
28;15;10000;4;1;1;0;1273
28;15;10000;4;1;1;1;1326
28;15;10000;4;1;1;1;1307
28;15;10000;4;1;1;1;1329
28;15;10000;4;1;1;1;1284
28;15;10000;4;1;1;1;1284
28;15;10000;4;1;1;1;1303
28;15;10000;4;1;1;2;1315
28;15;10000;4;1;1;2;1351
28;15;10000;4;1;1;2;1345
28;15;10000;4;1;1;2;1315
28;15;10000;4;1;1;2;1365
28;15;10000;4;1;1;2;1315
28;30;5000;4;1;1;0;1273
28;30;5000;4;1;1;0;1273
28;30;5000;4;1;1;0;1273
28;30;5000;4;1;1;0;1273
28;30;5000;4;1;1;0;1273
28;30;5000;4;1;1;0;1273
28;30;5000;4;1;1;1;1296
28;30;5000;4;1;1;1;1325
28;30;5000;4;1;1;1;1273
28;30;5000;4;1;1;1;1319
28;30;5000;4;1;1;1;1336
28;30;5000;4;1;1;1;1314
28;30;5000;4;1;1;2;1315
28;30;5000;4;1;1;2;1315
28;30;5000;4;1;1;2;1331
28;30;5000;4;1;1;2;1315
28;30;5000;4;1;1;2;1315
28;30;5000;4;1;1;2;1315
28;30;10000;4;1;1;0;1273
28;30;10000;4;1;1;0;1273
28;30;10000;4;1;1;0;1273
28;30;10000;4;1;1;0;1273
28;30;10000;4;1;1;0;1273
28;30;10000;4;1;1;0;1273
28;30;10000;4;1;1;1;1329
28;30;10000;4;1;1;1;1284
28;30;10000;4;1;1;1;1311
28;30;10000;4;1;1;1;1314
28;30;10000;4;1;1;1;1273
28;30;10000;4;1;1;1;1303
28;30;10000;4;1;1;2;1351
28;30;10000;4;1;1;2;1351
28;30;10000;4;1;1;2;1331
28;30;10000;4;1;1;2;1341
28;30;10000;4;1;1;2;1315
28;30;10000;4;1;1;2;1345
28;60;5000;4;1;1;0;1273
28;60;5000;4;1;1;0;1273
28;60;5000;4;1;1;0;1273
28;60;5000;4;1;1;0;1273
28;60;5000;4;1;1;0;1273
28;60;5000;4;1;1;0;1273
28;60;5000;4;1;1;1;1304
28;60;5000;4;1;1;1;1273
28;60;5000;4;1;1;1;1304
28;60;5000;4;1;1;1;1303
28;60;5000;4;1;1;1;1303
28;60;5000;4;1;1;1;1303
28;60;5000;4;1;1;2;1315
28;60;5000;4;1;1;2;1315
28;60;5000;4;1;1;2;1315
28;60;5000;4;1;1;2;1315
28;60;5000;4;1;1;2;1331
28;60;5000;4;1;1;2;1315
28;60;10000;4;1;1;0;1273
28;60;10000;4;1;1;0;1273
28;60;10000;4;1;1;0;1273
28;60;10000;4;1;1;0;1273
