Instancja;Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum;;;;;;;;;;;;
ftv170.atsp;120;40;5000;9;0;0;2;3319;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv170.atsp;120;40;5000;9;0;0;2;3319;3278.6;2755;3218;3319;55.31997831;0.190054446;0.020079847;;19.00544465;2.007984694;16.80580762;20.47186933
ftv170.atsp;120;50;5000;9;0;0;2;3319;;;;;;;;;;;;
ftv170.atsp;120;50;5000;9;0;0;2;3218;;;;;;;;;;;;
ftv170.atsp;120;50;5000;9;0;0;2;3319;;;;;;;;;;;;
ftv170.atsp;120;50;5000;9;0;0;2;3278;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv170.atsp;120;50;5000;9;0;0;2;3218;3270.4;2755;3218;3319;50.67839776;0.18707804;0.018395063;;18.70780399;1.839506271;16.80580762;20.47186933
ftv170.atsp;120;60;5000;9;0;0;2;3218;;;;;;;;;;;;
ftv170.atsp;120;60;5000;9;0;0;2;3218;;;;;;;;;;;;
ftv170.atsp;120;60;5000;9;0;0;2;3218;;;;;;;;;;;;
ftv170.atsp;120;60;5000;9;0;0;2;3218;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv170.atsp;120;60;5000;9;0;0;2;3178;3210;2755;3178;3218;17.88854382;0.165154265;0.006493119;;16.5154265;0.649311935;15.353902;16.80580762
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
p43.atsp;20;2;5000;4;1;1;0;5620;;;;;;;;;;;;
p43.atsp;20;2;5000;4;1;1;0;5631;;;;;;;;;;;;
p43.atsp;20;2;5000;4;1;1;0;5627;;;;;;;;;;;;
p43.atsp;20;2;5000;4;1;1;0;5620;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
p43.atsp;20;2;5000;4;1;1;0;5633;5626.2;5620;5620;5633;6.058052492;0.001103203;0.001077945;;0.110320285;0.107794528;0;0.231316726
p43.atsp;20;4;5000;4;1;1;0;5620;;;;;;;;;;;;
p43.atsp;20;4;5000;4;1;1;0;5620;;;;;;;;;;;;
p43.atsp;20;4;5000;4;1;1;0;5628;;;;;;;;;;;;
p43.atsp;20;4;5000;4;1;1;0;5631;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
p43.atsp;20;4;5000;4;1;1;0;5627;5625.2;5620;5620;5631;4.969909456;0.000925267;0.000884326;;0.09252669;0.088432553;0;0.195729537
p43.atsp;20;6;5000;4;1;1;0;5620;;;;;;;;;;;;
p43.atsp;20;6;5000;4;1;1;0;5620;;;;;;;;;;;;
p43.atsp;20;6;5000;4;1;1;0;5628;;;;;;;;;;;;
p43.atsp;20;6;5000;4;1;1;0;5621;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
p43.atsp;20;6;5000;4;1;1;0;5620;5621.8;5620;5620;5628;3.492849839;0.000320285;0.000621504;;0.03202847;0.062150353;0;0.142348754
p43.atsp;20;8;5000;4;1;1;0;5621;;;;;;;;;;;;
p43.atsp;20;8;5000;4;1;1;0;5621;;;;;;;;;;;;
p43.atsp;20;8;5000;4;1;1;0;5620;;;;;;;;;;;;
p43.atsp;20;8;5000;4;1;1;0;5620;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
p43.atsp;20;8;5000;4;1;1;0;5620;5620.4;5620;5620;5621;0.547722558;0.0000711744;0.0000974595;;0.007117438;0.009745953;0;0.017793594
p43.atsp;20;10;5000;4;1;1;0;5620;;;;;;;;;;;;
p43.atsp;20;10;5000;4;1;1;0;5620;;;;;;;;;;;;
p43.atsp;20;10;5000;4;1;1;0;5620;;;;;;;;;;;;
p43.atsp;20;10;5000;4;1;1;0;5620;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
