Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas
ftv47.atsp;100;0.001;1000;0.85;1;1;71000;1993;0.192872
ftv47.atsp;100;0.001;1000;0.95;1;0;225000;1993;0.543311
ftv47.atsp;100;0.001;1000;0.99;1;1;1146000;1993;3.00945
ftv47.atsp;100;0.001;1000;0.95;1;0;225000;1994;0.573763
ftv47.atsp;1000;0.001;1000;0.99;1;1;1375000;1994;3.50316
ftv47.atsp;100;0.001;1000;0.99;1;1;1146000;1997;3.18231
ftv47.atsp;1000;0.01;1000;0.85;1;1;71000;1997;0.187168
ftv47.atsp;1000;0.1;1000;0.99;1;1;917000;2000;lut.88
ftv47.atsp;100;0.1;1000;0.99;1;1;688000;2001;1.75505
ftv47.atsp;100;0.1;1000;0.99;1;1;688000;2004;1.80302
ftv47.atsp;100;0.1;1000;0.95;1;1;135000;2006;0.350708
ftv47.atsp;1000;0.1;1000;0.9;1;1;88000;2007;0.267707
ftv47.atsp;1000;0.01;100;0.95;1;1;22500;2007;0.0639374
ftv47.atsp;1000;0.01;1000;0.85;1;1;71000;2008;0.178955
ftv47.atsp;1000;0.01;1000;0.9;1;1;110000;2008;0.301848
ftv47.atsp;1000;0.01;1000;0.99;1;1;1146000;2008;3.03527
ftv47.atsp;100;0.01;1000;0.9;1;1;88000;2009;0.225218
ftv47.atsp;100;0.01;1000;0.95;1;1;180000;2009;0.454114
ftv47.atsp;1000;0.001;1000;0.95;1;1;270000;2009;0.690526
ftv47.atsp;100;0.001;1000;0.99;1;1;1146000;2010;2.94742
ftv47.atsp;1000;0.1;1000;0.95;1;1;180000;2010;0.512909
ftv47.atsp;100;0.001;100;0.99;1;1;114600;2011;0.299288
ftv47.atsp;1000;0.1;1000;0.99;1;1;917000;2011;2.50392
ftv47.atsp;1000;0.01;100;0.99;1;1;114600;2011;0.290285
ftv47.atsp;1000;0.001;1000;0.95;1;1;270000;2011;0.689262
ftv47.atsp;1000;0.01;100;0.99;1;1;114600;2012;0.286601
ftv47.atsp;100;0.01;100;0.99;1;1;91700;2014;0.230761
ftv47.atsp;100;0.01;1000;0.85;1;1;57000;2014;0.141755
ftv47.atsp;100;0.01;1000;0.95;1;1;180000;2014;0.470692
ftv47.atsp;1000;0.1;1000;0.99;1;1;917000;2014;2.42915
ftv47.atsp;1000;0.001;1000;0.95;1;1;270000;2015;0.695247
ftv47.atsp;1000;0.01;100;0.99;1;0;114600;2017;0.298302
ftv47.atsp;100;0.1;100;0.99;1;1;68800;2018;0.17895
ftv47.atsp;1000;0.1;100;0.95;1;1;18000;2018;0.0476147
ftv47.atsp;1000;0.1;1000;0.95;1;1;180000;2018;0.498709
ftv47.atsp;100;0.1;1000;0.85;1;1;43000;2019;0.120986
ftv47.atsp;100;0.1;1000;0.85;1;1;43000;2020;0.113436
ftv47.atsp;100;0.01;1000;0.85;1;1;57000;2020;0.14694
ftv47.atsp;1000;0.01;100;0.95;1;1;22500;2021;0.0594571
ftv47.atsp;100;0.01;100;0.99;1;1;91700;2022;0.236826
ftv47.atsp;100;0.1;1000;0.99;1;1;688000;2023;1.76435
ftv47.atsp;1000;0.001;100;0.99;1;1;137500;2023;0.344262
ftv47.atsp;100;0.1;1000;0.95;1;1;135000;2026;0.345619
ftv47.atsp;100;0.1;1000;0.99;1;1;688000;2026;1.76634
ftv47.atsp;1000;0.1;100;0.99;1;1;91700;2026;0.238415
ftv47.atsp;100;0.1;1000;0.85;1;1;43000;2028;0.109304
ftv47.atsp;1000;0.1;1000;0.9;1;1;88000;2028;0.243434
ftv47.atsp;1000;0.01;1000;0.9;1;1;110000;2028;0.290264
ftv47.atsp;100;0.1;1000;0.9;1;1;66000;2030;0.168973
ftv47.atsp;1000;0.01;100;0.99;1;1;114600;2031;0.308679
ftv47.atsp;100;0.001;1000;0.99;1;1;1146000;2032;2.94039
ftv47.atsp;1000;0.1;1000;0.9;1;1;88000;2032;0.243168
ftv47.atsp;100;0.1;100;0.99;1;1;68800;2033;0.187382
ftv47.atsp;100;0.001;1000;0.99;1;1;1146000;2033;2.94549
ftv47.atsp;1000;0.001;1000;0.99;1;0;1375000;2034;3.45225
ftv47.atsp;1000;0.1;1000;0.99;1;0;917000;2035;2.42342
ftv47.atsp;1000;0.01;1000;0.95;1;1;225000;2035;0.599087
ftv47.atsp;1000;0.001;1000;0.99;1;0;1375000;2035;3.42536
ftv47.atsp;1000;0.01;1000;0.85;1;1;71000;2036;0.18765
ftv47.atsp;100;0.001;1000;0.9;1;1;110000;2038;0.281888
ftv47.atsp;100;0.001;1000;0.9;1;1;110000;2039;0.281811
ftv47.atsp;1000;0.001;1000;0.95;1;1;270000;2039;0.693453
ftv47.atsp;100;0.001;100;0.95;1;1;22500;2040;0.0623684
ftv47.atsp;100;0.01;1000;0.95;1;1;180000;2041;0.477679
ftv47.atsp;100;0.1;1000;0.95;1;1;135000;2042;0.345261
ftv47.atsp;100;0.001;1000;0.95;1;1;225000;2043;0.577223
ftv47.atsp;100;0.001;100;0.99;1;1;114600;2044;0.296673
ftv47.atsp;100;0.001;1000;0.85;1;1;71000;2044;0.187099
ftv47.atsp;1000;0.1;100;0.99;1;1;91700;2045;0.261935
ftv47.atsp;100;0.01;1000;0.9;1;1;88000;2046;0.220171
ftv47.atsp;100;0.01;1000;0.9;1;1;88000;2047;0.220209
ftv47.atsp;1000;0.1;1000;0.95;1;1;180000;2047;0.488154
ftv47.atsp;100;0.01;1000;0.85;1;1;57000;2048;0.145545
ftv47.atsp;1000;0.1;1000;0.85;1;1;57000;2050;0.180973
ftv47.atsp;1000;0.01;1000;0.9;1;1;110000;2050;0.287116
ftv47.atsp;1000;0.001;100;0.85;1;1;8600;2052;0.0217244
