Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27786;0.483009;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27759;0.508904;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27759;0.546775;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.51925;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27811;0.553426;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27786;0.541349;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.510938;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.486205;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.486329;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.498289;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.51674;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.484081;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27897;0.478453;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.512997;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.509213;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.491094;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27620;0.513558;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.499589;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;28134;0.515934;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27759;0.496166;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27768;0.521379;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.496934;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.50471;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;28082;0.489493;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.497218;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.511759;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.496307;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.495282;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.497683;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.487882;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27802;0.504993;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27620;0.494399;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27759;0.475131;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.477333;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27785;0.48214;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27759;0.479785;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27759;0.486733;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27620;0.483989;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.49811;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.488085;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27620;0.515122;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27785;0.510401;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27736;0.525816;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.505852;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27768;0.493435;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27614;0.483261;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27534;0.497357;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27759;0.524263;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27759;0.527247;;Optym;Minimum;Maksimum;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
brazil58.tsp;1000;0.1;1000;0.95;1;2;180000;27768;0.500265;27657,8;25395;27534;28134;8,910415436;0,582811979;8,422917897;10,78558771
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.864175;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.871796;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.840156;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27759;0.858126;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.910718;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.860779;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.84397;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27759;0.84662;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27786;0.820819;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.801783;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27830;0.791247;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.789692;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.798809;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.794134;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27621;0.789635;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.792082;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.800233;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27759;0.788424;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.791984;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27768;0.790677;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.794887;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27876;0.784664;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.793005;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.788926;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.796317;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.788769;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.795662;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.793707;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27830;0.791729;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27768;0.787722;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.79557;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27620;0.791741;;;;;;;;
