Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Optimum;;;;;;;;;;;;;;KADENCJA;ITERACJE;INTEN;DIVID;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;NAJLEPSZE USTAWIENIA;;;18;5000;1;8;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;KADENCJA;;;;;;;;;;ITERACJE;;;;INTENSYFIKACJA;;;;;;;;DIVIDER RAND;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;1344,836806;1335,805556;1319,777003;1306,282686;1299,229682;LICZBA OPTIMÓW;;;;;1318,443357;1324,193277;;;1320,109551;1320,765363;1323,131653;1321,256983;;;;;1320,968421;1320,150943;1322,828092;;;
16;30;5000;3;8;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0
16;30;5000;3;8;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0
16;30;5000;3;8;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;1286;0;0;1;0
16;30;5000;3;10;1;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1
16;30;5000;3;10;1;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1
16;30;5000;3;10;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1
16;30;5000;3;10;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1
16;30;5000;3;10;0;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;1286;0;0;0;1;0;0;0;1286;0;0;1
16;30;5000;4;6;1;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;0;1286;0;0;0;1;1286;0;0;1;0;0
16;30;5000;4;6;1;1286;;0;0;0;1286;0;0;0;0;1;0;1286;0;1;0;0;0;0;1286;0;0;0;1;1286;0;0;1;0;0
