Instancja;Czas;Jednostka;Wynik;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;412;443;438;437;435;;;;bez memetycznego;;memetycz insert;;;;
ftv55.atsp;27601;ms;1795;1795;1795;1795;1795;1795;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;25825;ms;1821;1821;1821;1821;1821;1821;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;25822;ms;1740;1740;1740;1740;1740;1740;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;25880;ms;1788;1788;1788;1788;1788;1788;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;25074;ms;1866;1866;1866;1866;1866;1866;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;25534;ms;1788;1788;1788;1788;1788;1788;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;25205;ms;1818;1818;1818;1818;1818;1818;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;27153;ms;1702;1702;1702;1702;1702;1702;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;27261;ms;1826;1826;1826;1826;1826;1826;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;27766;ms;1765;1765;1765;1765;1765;1765;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;26357;ms;1769;1769;1769;1769;1769;1769;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;26457;ms;1795;1795;1795;1795;1795;1795;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;27808;ms;1747;1747;1747;1747;1747;1747;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;26939;ms;1795;1795;1795;1795;1795;1795;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;26757;ms;1796;1796;1796;1796;1796;1796;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24912;ms;1784;1784;1784;1784;1784;1784;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24808;ms;1795;1795;1795;1795;1795;1795;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24813;ms;1866;1866;1866;1866;1866;1866;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24776;ms;1667;1667;1667;1667;1667;1667;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24787;ms;1788;1788;1788;1788;1788;1788;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24754;ms;1838;1838;1838;1838;1838;1838;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24851;ms;1788;1788;1788;1788;1788;1788;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24870;ms;1821;1821;1821;1821;1821;1821;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24767;ms;1788;1788;1788;1788;1788;1788;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24870;ms;1718;1718;1718;1718;1718;1718;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24693;ms;1830;1830;1830;1830;1830;1830;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24751;ms;1823;1823;1823;1823;1823;1823;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24692;ms;1821;1821;1821;1821;1821;1821;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24719;ms;1795;1795;1795;1795;1795;1795;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24753;ms;1821;1821;1821;1821;1821;1821;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24626;ms;1821;1821;1821;1821;1821;1821;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24884;ms;1814;1814;1814;1814;1814;1814;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24679;ms;1787;1787;1787;1787;1787;1787;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24866;ms;1826;1826;1826;1826;1826;1826;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24742;ms;1724;1724;1724;1724;1724;1724;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;25024;ms;1821;1821;1821;1821;1821;1821;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24833;ms;1821;1821;1821;1821;1821;1821;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24679;ms;1788;1788;1788;1788;1788;1788;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24690;ms;1787;1787;1787;1787;1787;1787;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24649;ms;1795;1795;1795;1795;1795;1795;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24734;ms;1818;1825;1818;1825;1825;1818;;;0;1;0;0;1;;;;;;;;;;
ftv55.atsp;24781;ms;1784;1784;1784;1784;1784;1784;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24730;ms;1740;1740;1740;1740;1740;1740;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24762;ms;1821;1821;1821;1821;1821;1821;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24521;ms;1821;1821;1821;1821;1821;1821;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24458;ms;1802;1802;1802;1802;1802;1802;;;1;1;1;1;1;;;;;;;;;;
ftv55.atsp;24539;ms;1821;1821;1821;1821;1821;1821;1791,72;1667;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22550;ms;7758;7758;7758;7758;7758;7758;;;1;1;1;1;1;;;;;;;;;;
