Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas
ftv33.atsp;1000;0.001;1000;0.92;0;1;166000;1312;0.411417;;ftv35.atsp;1000;0.01;1000;0.96;0;1;283000;1563;0.702199;;ry48p.atsp;100;0.01;1000;0.9;0;1;88000;14624;0.220247;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7257;0.697598
ftv33.atsp;1000;0.001;1000;0.94;0;1;224000;1312;0.556087;;ftv35.atsp;1000;0.01;1000;0.96;0;1;283000;1563;0.711184;;ry48p.atsp;100;0.01;1000;0.96;0;1;226000;14626;0.556983;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7261;0.46274
ftv33.atsp;1000;0.001;1000;0.94;0;1;224000;1312;0.556278;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1563;1.41584;;ry48p.atsp;100;0.01;1000;0.96;0;1;226000;14626;0.564169;;ft53.atsp;100;0.001;1000;0.999;0;1;11508000;7275;28.3825
ftv33.atsp;1000;0.001;1000;0.94;0;1;224000;1312;0.557679;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1563;1.42194;;ry48p.atsp;100;0.01;1000;0.92;0;1;111000;14632;0.277842;;ft53.atsp;100;0.001;1000;0.8;0;1;52000;7282;0.128408
ftv33.atsp;1000;0.001;1000;0.96;0;1;339000;1312;0.833188;;ftv35.atsp;1000;0.01;1000;0.84;0;1;67000;1564;0.162037;;ry48p.atsp;100;0.01;1000;0.98;0;1;456000;14635;1.12777;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7286;0.759838
ftv33.atsp;1000;0.001;1000;0.999;0;1;13809000;1312;33.8188;;ftv35.atsp;1000;0.01;1000;0.88;0;1;91000;1564;0.221902;;ry48p.atsp;100;0.01;1000;0.84;0;1;53000;14636;0.130228;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7287;0.466509
ftv33.atsp;1000;0.001;1000;0.84;0;1;80000;1324;0.195199;;ftv35.atsp;1000;0.01;1000;0.88;0;1;91000;1564;0.224687;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14639;0.36778;;ft53.atsp;100;0.001;1000;0.84;0;1;67000;7288;0.164405
ftv33.atsp;1000;0.001;1000;0.84;0;1;80000;1324;0.19449;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1564;1.39235;;ry48p.atsp;100;0.01;1000;0.92;0;1;111000;14640;0.27842;;ft53.atsp;100;0.001;1000;0.9;0;1;110000;7289;0.274361
ftv33.atsp;1000;0.001;1000;0.86;0;1;92000;1324;0.223989;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1564;1.39242;;ry48p.atsp;100;0.01;1000;0.96;0;1;226000;14641;0.559115;;ft53.atsp;100;0.001;1000;0.98;0;1;570000;7291;1.53435
ftv33.atsp;1000;0.001;1000;0.9;0;1;132000;1324;0.322254;;ftv35.atsp;1000;0.01;1000;0.82;0;1;59000;1564;0.14406;;ry48p.atsp;100;0.01;1000;0.9;0;1;88000;14641;0.21774;;ft53.atsp;100;0.001;1000;0.999;0;1;11508000;7291;28.9647
ftv33.atsp;1000;0.001;1000;0.8;0;1;62000;1324;0.155764;;ftv35.atsp;1000;0.01;1000;0.84;0;1;67000;1564;0.166701;;ry48p.atsp;100;0.01;1000;0.96;0;1;226000;14642;0.565543;;ft53.atsp;100;0.001;1000;0.9;0;1;110000;7292;0.270084
ftv33.atsp;1000;0.001;1000;0.82;0;1;70000;1324;0.173373;;ftv35.atsp;1000;0.01;1000;0.84;0;1;67000;1564;0.165045;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14653;0.376966;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7293;0.723689
ftv33.atsp;1000;0.001;1000;0.84;0;1;80000;1324;0.201033;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1564;1.40718;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14657;0.372406;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7300;0.780809
ftv33.atsp;1000;0.001;1000;0.9;0;1;132000;1324;0.32748;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1564;1.41133;;ry48p.atsp;100;0.01;1000;0.82;0;1;47000;14658;0.115862;;ft53.atsp;100;0.001;1000;0.84;0;1;67000;7302;0.165049
ftv33.atsp;1000;0.001;1000;0.92;0;1;166000;1324;0.409303;;ftv35.atsp;1000;0.01;1000;0.96;0;1;283000;1565;0.687879;;ry48p.atsp;100;0.01;1000;0.8;0;1;42000;14658;0.105836;;ft53.atsp;100;0.001;1000;0.88;0;1;91000;7302;0.223347
ftv33.atsp;1000;0.001;1000;0.92;0;1;166000;1324;0.408212;;ftv35.atsp;1000;0.01;1000;0.82;0;1;59000;1566;0.144992;;ry48p.atsp;100;0.01;1000;0.88;0;1;73000;14658;0.180454;;ft53.atsp;100;0.001;1000;0.92;0;1;139000;7304;0.342598
ftv33.atsp;1000;0.001;1000;0.94;0;1;224000;1324;0.556441;;ftv35.atsp;1000;0.01;1000;0.86;0;1;77000;1566;0.190463;;ry48p.atsp;100;0.01;1000;0.86;0;1;62000;14662;0.153268;;ft53.atsp;100;0.001;1000;0.98;0;1;570000;7315;1.44927
