Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
50;45;5000;4;1;1;2;7092
55;45;5000;4;1;1;2;7127
50;45;5000;4;1;0;2;7143
60;45;5000;4;1;0;2;7155
45;10;5000;4;1;0;2;7161
50;20;5000;4;1;0;2;7161
55;45;5000;4;1;1;2;7169
45;10;5000;4;1;1;2;7170
50;20;5000;4;1;1;2;7170
55;45;5000;4;1;1;2;7170
60;45;5000;4;1;1;2;7170
50;45;5000;4;1;0;2;7185
50;45;5000;4;1;1;2;7207
45;20;5000;4;1;0;2;7227
45;10;5000;4;2;1;2;7234
50;45;5000;4;1;0;2;7248
60;45;5000;4;1;0;2;7248
35;3;5000;4;1;1;2;7256
50;20;5000;4;1;1;2;7256
35;10;5000;4;2;1;2;7261
45;10;5000;4;2;1;1;7265
45;3;5000;4;2;1;1;7267
60;45;5000;4;1;0;2;7272
50;20;5000;4;1;0;2;7283
55;45;5000;4;1;0;2;7283
60;45;5000;4;1;1;2;7289
35;10;5000;4;2;1;1;7303
55;45;5000;4;1;0;2;7321
40;10;5000;4;2;1;1;7324
45;10;5000;4;1;1;1;7326
60;45;5000;4;1;1;2;7342
45;45;5000;4;1;0;2;7343
40;3;5000;4;2;1;2;7364
45;3;5000;4;2;1;2;7364
40;10;5000;4;1;1;2;7375
45;10;5000;4;1;1;2;7410
50;20;5000;4;1;0;2;7426
55;45;5000;4;1;0;2;7429
45;10;5000;4;2;0;1;7430
35;10;5000;4;1;0;1;7438
45;10;5000;4;1;1;1;7444
45;10;5000;4;2;0;1;7458
45;10;5000;4;2;1;1;7459
45;10;5000;4;1;0;2;7469
30;3;5000;4;2;1;1;7471
40;10;5000;4;2;0;2;7471
45;10;5000;4;2;0;2;7476
35;10;5000;4;2;0;2;7478
40;10;5000;4;1;0;1;7478
45;10;5000;4;2;1;2;7478
45;3;5000;4;2;0;1;7486
45;10;5000;4;2;0;2;7489
35;10;5000;4;2;1;2;7490
40;10;5000;4;2;0;1;7492
45;10;5000;4;1;0;1;7499
45;20;5000;4;1;1;2;7499
45;3;5000;4;2;1;1;7505
35;10;5000;4;1;1;2;7509
40;10;5000;4;1;1;2;7509
30;3;5000;4;1;1;1;7514
40;10;5000;4;1;1;1;7521
35;3;5000;4;1;0;1;7524
35;10;5000;4;1;1;1;7524
50;20;5000;4;1;1;2;7532
40;10;5000;4;2;0;1;7536
35;10;5000;4;2;1;1;7552
35;3;5000;4;1;0;2;7554
35;10;5000;4;1;0;2;7554
35;10;5000;4;2;0;2;7554
45;20;5000;4;1;0;2;7554
40;3;5000;4;1;1;1;7563
35;10;5000;4;1;0;1;7567
45;3;5000;4;2;0;2;7571
40;10;5000;4;2;1;2;7571
40;10;5000;4;2;0;1;7571
50;45;5000;4;1;1;2;7573
40;3;5000;4;1;0;1;7574
40;10;5000;4;2;1;1;7575
40;3;5000;4;2;1;1;7578
35;10;5000;4;2;0;2;7582
40;10;5000;4;1;1;1;7584
40;10;5000;4;2;1;1;7592
35;3;5000;4;1;0;2;7593
35;3;5000;4;1;0;2;7593
35;3;5000;4;2;0;2;7593
40;3;5000;4;1;0;2;7593
35;10;5000;4;1;0;2;7593
