Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
35;120;5000;4;2;1;0;6947
35;120;5000;4;2;1;0;6947
35;120;5000;4;2;1;0;6947
35;60;5000;4;2;1;0;6949
35;120;5000;4;2;1;0;6954
30;60;5000;4;1;1;0;6964
35;60;5000;4;1;1;0;6964
35;60;5000;4;1;1;0;6964
40;60;5000;4;2;1;0;6964
50;60;5000;4;2;1;0;6964
40;60;5000;4;2;1;0;6964
35;120;5000;4;2;1;0;6970
50;60;5000;4;2;1;0;6971
35;60;5000;4;2;1;0;6972
40;60;5000;4;2;1;0;6972
40;60;5000;4;2;1;0;6972
35;60;5000;4;2;0;0;6974
40;60;5000;4;1;1;0;6978
40;60;5000;4;1;1;0;6978
35;120;5000;4;2;1;0;6979
35;120;5000;4;2;1;0;6981
50;60;5000;4;2;1;0;6982
35;60;5000;4;2;0;0;6984
40;60;5000;4;2;1;0;6984
50;60;5000;4;2;1;0;6984
40;60;5000;4;2;1;0;6984
35;60;5000;4;1;0;0;6985
30;20;5000;4;2;1;0;6985
30;60;5000;4;1;0;0;6987
40;60;5000;4;1;1;0;6987
40;60;5000;4;1;1;0;6987
40;60;5000;4;1;1;0;6987
40;60;5000;4;1;1;0;6987
30;60;5000;4;2;1;0;6988
35;60;5000;4;2;1;0;6988
40;60;5000;4;2;1;0;6988
50;60;5000;4;2;1;0;6988
40;60;5000;4;2;1;0;6988
35;60;5000;4;1;1;0;6989
40;60;5000;4;1;1;0;6989
40;60;5000;4;1;1;0;6989
35;60;5000;4;1;0;0;6992
30;60;5000;4;2;1;0;6994
30;60;5000;4;2;1;0;6994
35;120;5000;4;2;1;0;6994
35;120;5000;4;2;1;0;6996
35;120;5000;4;2;1;0;6996
35;60;5000;4;2;0;0;6997
35;60;5000;4;2;1;0;6998
40;60;5000;4;1;1;0;6998
50;60;5000;4;2;1;0;6998
50;60;5000;4;2;1;0;6998
40;60;5000;4;1;1;0;6998
35;60;5000;4;1;0;0;6999
35;60;5000;4;2;1;0;6999
40;60;5000;4;1;1;0;6999
50;60;5000;4;2;1;0;6999
40;60;5000;4;1;1;0;6999
40;60;5000;4;2;1;0;7000
40;60;5000;4;2;1;0;7000
35;60;5000;4;2;0;0;7001
40;60;5000;4;2;1;0;7001
40;60;5000;4;1;1;0;7001
40;60;5000;4;1;1;0;7001
40;60;5000;4;2;1;0;7001
40;60;5000;4;1;1;0;7001
40;60;5000;4;1;1;0;7001
30;60;5000;4;2;1;0;7002
35;60;5000;4;2;1;0;7002
40;60;5000;4;2;1;0;7002
50;60;5000;4;2;1;0;7002
40;60;5000;4;2;1;0;7002
35;60;5000;4;1;0;0;7003
40;60;5000;4;2;1;0;7003
40;60;5000;4;2;1;0;7003
40;60;5000;4;1;1;0;7004
40;60;5000;4;1;1;0;7004
35;120;5000;4;2;1;0;7004
35;60;5000;4;1;0;0;7006
35;60;5000;4;2;1;0;7006
35;60;5000;4;1;0;0;7007
50;60;5000;4;2;1;0;7007
30;60;5000;4;1;1;0;7008
35;60;5000;4;2;1;0;7008
35;60;5000;4;2;0;0;7008
30;60;5000;4;2;1;0;7009
35;60;5000;4;1;1;0;7009
35;120;5000;4;2;1;0;7009
35;120;5000;4;2;1;0;7009
30;60;5000;4;1;0;0;7010
30;60;5000;4;2;0;0;7010
35;60;5000;4;1;0;0;7013
30;60;5000;4;1;1;0;7014
30;60;5000;4;1;0;0;7014
30;60;5000;4;2;1;0;7014
30;20;5000;4;1;1;0;7014
40;60;5000;4;2;1;0;7015
40;60;5000;4;1;1;0;7015
50;60;5000;4;2;1;0;7015
40;60;5000;4;2;1;0;7015
40;60;5000;4;1;1;0;7015
30;60;5000;4;2;0;0;7016
35;60;5000;4;1;0;0;7016
35;60;5000;4;2;0;0;7016
35;60;5000;4;2;0;0;7017
40;60;5000;4;1;1;0;7017
40;60;5000;4;1;1;0;7017
35;60;5000;4;2;0;0;7018
30;60;5000;4;2;0;0;7019
40;60;5000;4;2;1;0;7019
50;60;5000;4;2;1;0;7019
40;60;5000;4;2;1;0;7019
30;60;5000;4;1;1;0;7022
30;60;5000;4;1;1;0;7022
30;60;5000;4;1;0;0;7022
35;60;5000;4;1;1;0;7022
35;60;5000;4;2;1;0;7023
35;60;5000;4;1;1;0;7024
35;60;5000;4;1;1;0;7024
35;60;5000;4;1;1;0;7024
20;20;5000;4;1;1;0;7024
35;20;5000;4;2;1;0;7024
30;60;5000;4;2;1;0;7026
30;60;5000;4;2;0;0;7026
40;60;5000;4;1;1;0;7026
40;60;5000;4;1;1;0;7026
40;60;5000;4;1;1;0;7026
40;60;5000;4;1;1;0;7026
35;120;5000;4;2;1;0;7026
40;60;5000;4;1;1;0;7029
40;60;5000;4;1;1;0;7029
30;60;5000;4;1;1;0;7032
30;60;5000;4;2;1;0;7032
30;60;5000;4;2;0;0;7032
35;60;5000;4;2;1;0;7032
40;60;5000;4;2;1;0;7032
40;60;5000;4;2;1;0;7032
30;60;5000;4;2;0;0;7033
35;60;5000;4;2;1;0;7033
40;60;5000;4;2;1;0;7033
40;60;5000;4;2;1;0;7033
30;60;5000;4;1;0;0;7034
30;60;5000;4;1;0;0;7034
35;60;5000;4;1;0;0;7034
30;60;5000;4;2;1;0;7035
30;60;5000;4;2;1;0;7035
30;60;5000;4;1;0;0;7036
35;60;5000;4;1;1;0;7036
30;60;5000;4;2;1;0;7038
35;60;5000;4;2;0;0;7038
35;60;5000;4;2;0;0;7038
35;60;5000;4;1;1;0;7039
35;60;5000;4;1;0;0;7039
35;60;5000;4;2;1;0;7039
30;60;5000;4;2;1;0;7041
35;60;5000;4;1;1;0;7041
25;20;5000;4;1;1;0;7041
25;20;5000;4;2;1;0;7041
30;60;5000;4;1;1;0;7043
30;60;5000;4;1;1;0;7044
30;60;5000;4;2;1;0;7044
35;60;5000;4;2;1;0;7044
30;60;5000;4;1;1;0;7046
30;60;5000;4;1;1;0;7046
30;60;5000;4;1;1;0;7046
30;60;5000;4;1;1;0;7046
35;60;5000;4;1;1;0;7046
40;60;5000;4;2;1;0;7046
40;60;5000;4;2;1;0;7046
30;60;5000;4;2;1;0;7047
30;60;5000;4;2;0;0;7047
30;60;5000;4;1;1;0;7048
35;60;5000;4;1;1;0;7048
35;60;5000;4;2;0;0;7048
30;60;5000;4;1;0;0;7050
30;60;5000;4;2;0;0;7050
35;60;5000;4;1;1;0;7050
40;60;5000;4;2;1;0;7050
40;60;5000;4;2;1;0;7050
35;60;5000;4;2;1;0;7053
35;60;5000;4;1;0;0;7054
35;60;5000;4;2;0;0;7054
30;60;5000;4;1;1;0;7055
30;60;5000;4;2;0;0;7055
50;60;5000;4;2;1;0;7055
30;60;5000;4;2;0;0;7056
30;60;5000;4;2;0;0;7056
30;60;5000;4;1;1;0;7057
35;60;5000;4;1;1;0;7057
35;60;5000;4;2;0;0;7058
40;60;5000;4;1;1;0;7059
40;60;5000;4;1;1;0;7059
35;60;5000;4;2;0;0;7061
30;60;5000;4;2;1;0;7062
30;60;5000;4;1;0;0;7065
30;60;5000;4;1;0;0;7065
30;60;5000;4;2;0;0;7065
40;60;5000;4;2;1;0;7065
40;60;5000;4;2;1;0;7065
30;60;5000;4;1;0;0;7066
30;60;5000;4;2;0;0;7066
35;60;5000;4;1;0;0;7067
30;20;5000;4;1;0;0;7067
35;60;5000;4;2;0;0;7069
35;20;5000;4;2;1;0;7069
30;60;5000;4;1;0;0;7070
30;60;5000;4;1;0;0;7070
35;60;5000;4;2;1;0;7071
20;20;5000;4;1;1;0;7072
35;20;5000;4;1;1;0;7077
35;60;5000;4;1;0;0;7078
35;60;5000;4;1;0;0;7078
20;20;5000;4;2;1;0;7078
30;60;5000;4;1;0;0;7080
20;20;5000;4;1;1;0;7081
25;20;5000;4;2;1;0;7081
35;20;5000;4;1;1;0;7082
30;60;5000;4;1;0;0;7083
35;20;5000;4;2;1;0;7084
30;60;5000;4;2;0;0;7085
35;60;5000;4;1;0;0;7085
25;20;5000;4;2;1;0;7085
35;20;5000;4;1;1;0;7094
35;20;5000;4;1;0;0;7094
35;20;5000;4;1;0;0;7094
20;20;5000;4;2;1;0;7098
25;20;5000;4;1;0;0;7098
30;20;5000;4;1;1;0;7102
25;20;5000;4;2;0;0;7107
25;20;5000;4;2;0;0;7107
30;20;5000;4;2;1;0;7112
20;20;5000;4;2;1;0;7115
35;20;5000;4;2;0;0;7116
50;5;5000;4;2;1;0;7118
50;5;5000;4;2;1;0;7118
30;20;5000;4;1;0;0;7118
30;60;5000;4;2;0;0;7121
55;5;5000;4;2;1;0;7121
55;5;5000;4;2;1;0;7121
55;5;5000;4;2;1;0;7121
55;5;5000;4;2;1;0;7121
55;5;5000;4;2;1;0;7121
55;5;5000;4;1;1;0;7121
55;5;5000;4;1;1;0;7121
35;20;5000;4;2;0;0;7121
30;20;5000;4;2;0;0;7123
55;5;5000;4;1;1;0;7124
25;20;5000;4;1;1;0;7129
25;20;5000;4;2;0;0;7129
30;20;5000;4;1;1;0;7129
30;20;5000;4;2;0;0;7132
35;20;5000;4;2;0;0;7136
30;20;5000;4;2;1;0;7139
25;20;5000;4;1;0;0;7141
25;20;5000;4;1;1;0;7148
45;5;5000;4;2;1;0;7155
45;5;5000;4;2;1;0;7155
45;5;5000;4;2;1;0;7155
45;5;5000;4;2;1;0;7155
45;5;5000;4;2;1;0;7155
45;5;5000;4;2;1;0;7155
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
40;5;5000;4;2;1;0;7158
45;5;5000;4;2;1;0;7158
35;20;5000;4;1;0;0;7158
20;20;5000;4;1;0;0;7159
20;20;5000;4;1;0;0;7164
30;20;5000;4;2;0;0;7168
