Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1665;269;150;3;0.15;2;1;2;1;1;10;1706,9;1646;;;ftv47.atsp;35;1878,8;1816;1776;5,79%;;;;;;;;;
ftv44.atsp;10015;ms;1623;267;150;3;0.15;2;1;2;5;1;10;;;;;ftv47.atsp;45;1873,35;1816;1776;5,48%;;;;;;;;;
ftv44.atsp;10008;ms;1646;270;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10014;ms;1666;271;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1661;271;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10009;ms;1623;270;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10028;ms;1688;271;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1623;270;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1669;269;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1653;264;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10006;ms;1663;236;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10002;ms;1669;235;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1632;248;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10012;ms;1698;265;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10002;ms;1691;255;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10005;ms;1676;232;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10010;ms;1682;239;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1640;240;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10028;ms;1713;234;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1623;235;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10015;ms;1700;231;150;3;0.15;2;1;2;5;1;10;1661,95;1623;;;;;;;;;;;;;;;;;
ftv44.atsp;10019;ms;1703;251;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10015;ms;1627;245;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10003;ms;1669;247;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10011;ms;1706;250;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10003;ms;1674;250;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10018;ms;1702;267;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10025;ms;1685;242;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1613;250;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10022;ms;1695;255;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10004;ms;1725;255;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10029;ms;1655;253;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10012;ms;1649;253;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10026;ms;1627;253;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10044;ms;1640;240;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10007;ms;1671;263;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10029;ms;1669;269;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10002;ms;1685;251;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10043;ms;1640;248;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10030;ms;1627;250;150;3;0.15;2;1;2;10;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10031;ms;1627;255;150;3;0.15;2;1;2;10;1;10;1664,45;1613;;;;;;;;;;;;;;;;;
ftv44.atsp;10028;ms;1660;245;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
