Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;
ftv55.atsp;10000;ms;1901;3711;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10000;ms;1945;3697;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10001;ms;1817;3694;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10000;ms;1693;3712;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10000;ms;1823;3719;100;3;0.15;2;1;2;5;1;10;1852,7;1693;1945;;;;;;;;
ftv64.atsp;10001;ms;2134;2918;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;2089;2921;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;2113;2909;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10000;ms;1998;2876;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10000;ms;2089;2901;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;2183;2933;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;2197;2922;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10002;ms;2031;2897;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;2136;2927;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;2083;2896;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;2080;2866;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10000;ms;2187;2803;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10000;ms;2187;2879;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;2197;2900;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10000;ms;2011;2876;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10000;ms;2117;2840;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10000;ms;2010;2886;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10000;ms;2136;2947;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;2183;2927;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;2044;2867;100;3;0.15;2;1;2;5;1;10;2110,25;1998;2197;;;;;;;;
ftv47.atsp;10000;ms;2186;4098;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10001;ms;1889;4145;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10001;ms;2026;4138;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;2154;4105;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10001;ms;2023;4115;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;1957;4107;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;2015;4087;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10001;ms;2045;4110;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10001;ms;2106;4133;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;2090;4123;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;1940;4116;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;1930;4152;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10001;ms;2156;4146;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;2162;4142;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;2057;4152;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;2112;4132;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10001;ms;2150;4029;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;2030;4136;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10001;ms;1974;4119;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;2137;4083;100;3;0.15;2;1;2;5;1;10;2056,95;1889;2186;;;;;;;;
ftv44.atsp;10002;ms;1744;443;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10013;ms;1671;447;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10011;ms;1669;448;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10014;ms;1627;453;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10007;ms;1667;453;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10006;ms;1649;447;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10019;ms;1623;434;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10017;ms;1693;431;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10004;ms;1627;426;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10011;ms;1669;437;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10003;ms;1627;450;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10011;ms;1680;453;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10017;ms;1627;444;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10010;ms;1623;453;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10002;ms;1632;451;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10020;ms;1640;453;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10009;ms;1623;453;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10019;ms;1652;448;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10013;ms;1676;451;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv44.atsp;10004;ms;1685;451;100;3;0.15;2;1;2;5;1;10;1655,2;1623;1744;;;;;;;;
ft53.atsp;10008;ms;7209;300;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10003;ms;7661;301;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10016;ms;7368;302;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10013;ms;7257;301;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10022;ms;7199;301;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10007;ms;7512;300;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10012;ms;7423;300;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10026;ms;7763;298;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10028;ms;7427;259;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10002;ms;7444;270;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10012;ms;7403;281;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10009;ms;7449;284;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10021;ms;7162;282;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10005;ms;7546;290;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10029;ms;7502;268;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10019;ms;7466;256;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10006;ms;7070;259;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10008;ms;7714;270;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10004;ms;7152;279;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ft53.atsp;10029;ms;7204;255;100;3;0.15;2;1;2;5;1;10;7396,55;7070;7763;;;;;;;;
ftv55.atsp;10031;ms;1618;222;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10018;ms;1630;224;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10011;ms;1666;230;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10031;ms;1683;219;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10004;ms;1668;230;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10022;ms;1657;224;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10029;ms;1716;242;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10028;ms;1733;229;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10003;ms;1678;224;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10007;ms;1608;209;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10013;ms;1771;234;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10024;ms;1671;238;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10020;ms;1828;242;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10022;ms;1661;242;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
