Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;;;;;;;;;;;;;;;;
ftv44.atsp;5466;ms;1704;1;9;8;9;9;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5257;ms;1704;1;8;7;9;8;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5574;ms;1716;1;9;7;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5549;ms;1704;1;10;8;10;9;9;;;;;;;;;;;;;;;;;;
ftv44.atsp;5968;ms;1761;1;7;6;8;8;6;;;;;;;;;;;;;;;;;;
ftv44.atsp;6140;ms;1704;1;7;7;7;7;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5236;ms;1704;1;9;8;10;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5349;ms;1704;1;9;7;9;9;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5543;ms;1704;1;10;8;10;10;9;;;;;;;;;;;;;;;;;;
ftv44.atsp;5395;ms;1764;1;10;8;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5564;ms;1704;1;9;7;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5406;ms;1704;1;9;7;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5270;ms;1704;1;10;8;10;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5527;ms;1723;1;10;8;10;9;9;;;;;;;;;;;;;;;;;;
ftv44.atsp;5335;ms;1723;1;9;8;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5317;ms;1716;1;10;8;10;10;9;;;;;;;;;;;;;;;;;;
ftv44.atsp;5467;ms;1704;1;9;7;8;8;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5436;ms;1723;1;9;7;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5416;ms;1708;1;9;8;10;10;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5485;ms;1704;1;9;8;9;9;9;;;;;;;;;;;;;;;;;;
ftv44.atsp;5246;ms;1688;1;9;8;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5376;ms;1717;1;10;8;10;10;9;;;;;;;;;;;;;;;;;;
ftv44.atsp;5333;ms;1704;1;10;8;10;10;9;;;;;;;;;;;;;;;;;;
ftv44.atsp;5197;ms;1704;1;8;7;9;8;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5688;ms;1740;1;8;7;8;8;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5807;ms;1704;1;9;7;8;9;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5682;ms;1704;1;9;8;8;8;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5519;ms;1701;1;9;7;8;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5615;ms;1732;1;10;8;9;9;9;;;;;;;;;;;;;;;;;;
ftv44.atsp;5726;ms;1704;1;8;6;8;8;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5879;ms;1742;1;7;6;7;7;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5993;ms;1704;1;8;7;8;8;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5772;ms;1717;1;8;6;7;7;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5780;ms;1704;1;9;7;8;8;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5863;ms;1704;1;9;7;8;8;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5807;ms;1716;1;9;7;8;9;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5774;ms;1704;1;9;7;9;8;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5716;ms;1704;1;9;8;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5643;ms;1706;1;8;7;7;7;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5509;ms;1704;1;10;7;9;8;8;;;;;;;;;;;;;;;;;;
